,Organisation Name,OrgUrls,Desc,Technologies,Topic,Organisation site,number of Projects
22, OpenMRS ,https://summerofcode.withgoogle.com//programs/2023/organizations/openmrs,"Write Code, Save Lives.","mysql, javascript, java, reactjs, fhir","platform, frontend, Electronic Medical Record System, QA automation",https://openmrs.org/,9
23, Carbon Language ,https://summerofcode.withgoogle.com//programs/2023/organizations/carbon-language,An experimental successor to C++,"llvm, c++, clang, Bison","programming languages, c++",https://github.com/carbon-language/carbon-lang,2
24, The FreeBSD Project ,https://summerofcode.withgoogle.com//programs/2023/organizations/the-freebsd-project,An OS for servers to embedded devices,"c, llvm, assembly, make, POSIX shell","virtualization, operating system, Embedded System",https://www.freebsd.org/,6
25, Pitivi ,https://summerofcode.withgoogle.com//programs/2023/organizations/pitivi,Self-expression through filmmaking,"c, python, gtk, gstreamer","video processing, filmmaking, video editing",https://www.pitivi.org/,2
26, INCF ,https://summerofcode.withgoogle.com//programs/2023/organizations/incf,An open & FAIR neuroscience standards organization,"python, javascript, java, c++, gpu","machine learning, data visualization, neuroscience, brain modelling, neuroimage processing",https://www.incf.org,22
27, ScummVM ,https://summerofcode.withgoogle.com//programs/2023/organizations/scummvm,Adventure and RPG preservation project,"python, opengl, c++, assembly, php","games, game engines, software preservation, software archeology",https://www.scummvm.org/,4
28, Jina AI ,https://summerofcode.withgoogle.com//programs/2023/organizations/jina-ai-sb,"Multimodal AI from the community, for everyone","python, machine learning, microservices, data science, Multimodel AI","cloud native, neural search, generative AI, Python MLOps Framework, Mulitmodel Data",https://jina.ai/,1
29, KDE Community ,https://summerofcode.withgoogle.com//programs/2023/organizations/kde-community,International team developing Open Source software,"c++, qt, qml, data structures","education, science, applications, desktop environment",https://kde.org/,7
30, VideoLAN ,https://summerofcode.withgoogle.com//programs/2023/organizations/videolan,Open Source Multimedia for everyone!,"c, c++, qt, assembly, video","audio, streaming, video, codecs, media database",https://www.videolan.org,10
31, Apache Software Foundation ,https://summerofcode.withgoogle.com//programs/2023/organizations/apache-software-foundation,Open source software to the public free of charge,"c, java, c++","big data, cloud, libraries, other",https://apache.org,25
32, FFmpeg ,https://summerofcode.withgoogle.com//programs/2023/organizations/ffmpeg,"Record, convert and stream audio & video","c, git, asm","audio, video, subtitles, multimedia",https://ffmpeg.org/,3
33, CircuitVerse.org ,https://summerofcode.withgoogle.com//programs/2023/organizations/circuitverseorg,Build and learn logic circuits in the cloud!,"javascript, rails, canvas, vue","education, web, simulation, pedagogy, digital logic design",http://circuitverse.org/,4
34, JdeRobot ,https://summerofcode.withgoogle.com//programs/2023/organizations/jderobot,Toolkit for developing Robotics applications,"python, ros, gazebo, opencv, tensorflow","education, artificial intelligence, robotics, computer vision, developer tools",http://jderobot.github.io,4
35, LibreOffice ,https://summerofcode.withgoogle.com//programs/2023/organizations/libreoffice,LibreOffice is a free and open source office suite,"python, java, c++","office suite, desktop application, end user application",https://www.libreoffice.org/,5
36, The ENIGMA Team ,https://summerofcode.withgoogle.com//programs/2023/organizations/the-enigma-team,A free rapid game development environment.,"opengl, c++, qt5, recursive-descent","graphics, game development, compiler, programming, game design",https://enigma-dev.org,2
37, The Tor Project ,https://summerofcode.withgoogle.com//programs/2023/organizations/the-tor-project,Defend yourself against tracking and surveillance.,"c, python, web, rust","security, privacy, anti-censorship, Human Rights, Surveillance",https://www.torproject.org/,4
38, XMPP Standards Foundation ,https://summerofcode.withgoogle.com//programs/2023/organizations/xmpp-standards-foundation,XSF develops an open-standard messaging protocol,"gtk, vala, xmpp, swift, Objective C","instant messaging, chat, WebRTC, Jingle, Real-Time Communication",https://xmpp.org/,2
39, GeomScale ,https://summerofcode.withgoogle.com//programs/2023/organizations/geomscale,Scalable geometric and statistical software,"python, c++, r, jupyter, github-actions","mathematics, data science, computational biology, computational geometry, statistics",https://geomscale.github.io,3
40, MuseScore ,https://summerofcode.withgoogle.com//programs/2023/organizations/musescore,The World’s Most Popular Music Notation Software,"c++, qt, qml, cmake","music, midi, musicxml, sheet music, music notation",https://musescore.org/,1
41, GNU Image Manipulation Program ,https://summerofcode.withgoogle.com//programs/2023/organizations/gnu-image-manipulation-program,GIMP is a cross-platform image editor,"c, GEGL","graphics, design, photography, illustration",https://www.gimp.org/,3
42, Rizin ,https://summerofcode.withgoogle.com//programs/2023/organizations/rizin,Rizin reverse engineering framework and toolset,"c, python, go, c++, qt","reverse engineering, computer security, debugging, emulation, disassembly",https://rizin.re,1
43, CCExtractor Development ,https://summerofcode.withgoogle.com//programs/2023/organizations/ccextractor-development,"TV, Rust, Flutter, Linux, VR and C. In any order.","c, linux, rust, flutter","vr, linux, video, subtitles, mobile",https://www.ccextractor.org,7
44, coreboot ,https://summerofcode.withgoogle.com//programs/2023/organizations/coreboot,"Fast, secure and flexible BIOS firmware","c, assembly, arm, x86","hardware, drivers, firmware, boot loader, BIOS",https://coreboot.org,1
45, rocket.chat ,https://summerofcode.withgoogle.com//programs/2023/organizations/rocketchat,Open source communications platform for the AI age,"javascript, typescript, node, LLM, generative ai","communications, messaging, group chat, Team Collaboration, Chat platform",https://github.com/RocketChat,10
46, Fortran-lang ,https://summerofcode.withgoogle.com//programs/2023/organizations/fortran-lang,High-performance parallel programming language,"python, c++, fortran","compilers, programming languages, build systems, libraries, Fortran",https://fortran-lang.org,3
47, Liquid Galaxy project ,https://summerofcode.withgoogle.com//programs/2023/organizations/liquid-galaxy-project,We code immersive and interactive aps with G Earth,"linux, android, nodejs, flutter, Google Earth","visualization, artificial intelligence, networking, maps, ux",https://www.liquidgalaxy.eu,11
48, OWASP Foundation ,https://summerofcode.withgoogle.com//programs/2023/organizations/owasp-foundation,No more insecure software.,"python, javascript, java, ZAP, Juice Shop","web, cloud, application security, cybersecurity, DevSecOps",https://owasp.org,11
49, MetaBrainz Foundation Inc ,https://summerofcode.withgoogle.com//programs/2023/organizations/metabrainz-foundation-inc,"Open music / book metadata, music recommendations","python, machine learning, perl, postgres, spark","machine learning, open data, music, books, music social network",https://metabrainz.org,7
50, Society for Arts and Technology (SAT) ,https://summerofcode.withgoogle.com//programs/2023/organizations/society-for-arts-and-technology-sat,Create teleimmersive multisensorial experiences.,"python, javascript, opengl, c++, supercollider","web, graphics, cloud, multimedia, accessibility",https://sat.qc.ca,5
51, GNU Compiler Collection (GCC) ,https://summerofcode.withgoogle.com//programs/2023/organizations/gnu-compiler-collection-gcc,GNU compilers,"c/c++, gnu make, gnu autotools","compilers, developer tools, toolchain, openmp, link time optimization",https://gcc.gnu.org/,6
52, The ns-3 Network Simulator Project ,https://summerofcode.withgoogle.com//programs/2023/organizations/the-ns-3-network-simulator-project,ns-3 is a simulation tool for computer networks.,"python, django, c++","computer networking, network simulation",https://www.nsnam.org,3
53, LibreHealth ,https://summerofcode.withgoogle.com//programs/2023/organizations/librehealth,Healthcare for Humanity,"python, javascript, android, java, dart/flutter","web, deep learning, hfoss, radiology, mobile apps",https://librehealth.io,5
54, Python Software Foundation ,https://summerofcode.withgoogle.com//programs/2023/organizations/python-software-foundation,A programming language used for science & more,"python, javascript, c++, SBOM","security, visualization, compiler, modeling, Backup",https://python-gsoc.org/,22
55, freifunk ,https://summerofcode.withgoogle.com//programs/2023/organizations/freifunk,Free and open wireless networks,"c, python, javascript, openwrt, gnu/linux","embedded systems, open hardware, routing, wireless networks, federation",https://freifunk.net/en,6
56, MIT App Inventor ,https://summerofcode.withgoogle.com//programs/2023/organizations/mit-app-inventor,Anyone can build apps with global impact.,"javascript, java, gwt, swift","education, development tools, android, ios",http://appinventor.mit.edu,6
57, Swift ,https://summerofcode.withgoogle.com//programs/2023/organizations/swift,"Fast, safe, and expressive programming language","c++, cmake, swift","compilers, cross-platform, Packages, Server development, Standard Libraries",https://swift.org,3
58, NumFOCUS ,https://summerofcode.withgoogle.com//programs/2023/organizations/numfocus,NumFOCUS promotes open source scientific software.,"python, c++, r, julia","data science, graphics, scientific computing, numerical computation",https://numfocus.org,24
59, The Palisadoes Foundation ,https://summerofcode.withgoogle.com//programs/2023/organizations/the-palisadoes-foundation,Social media and member management for non-profits,"flutter, graphql, typescript, reactjs, MERN","web, api, database, ai, mobile",https://www.palisadoes.org,8
60, Drupal Association ,https://summerofcode.withgoogle.com//programs/2023/organizations/drupal-association,The best open source digital experience platform,"mysql, javascript, html, php, symfony","web, cloud, DXP, Massive community, Inclusive",https://drupal.org,4
61, LLVM Compiler Infrastructure ,https://summerofcode.withgoogle.com//programs/2023/organizations/llvm-compiler-infrastructure,LLVM Compiler Infrastructure,"llvm, c++, clang, mlir","compilers, development tools, libraries",http://www.llvm.org,20
62, Oppia Foundation ,https://summerofcode.withgoogle.com//programs/2023/organizations/oppia-foundation,"Free platform for interactive, tutor-like lessons","python, google app engine, angular, typescript, Apache Beam","education, web, ai, nonprofit, social impact",https://www.oppia.org,5
